customer_id,segment,support_channel,response_time_hours,resolution_time_hours,contacts_last_30d,satisfaction_score,retained_next_period
C00484,SMB,Email,12.29,41.12,1,4.08,1
C00485,Mid-Market,Phone,16.79,43.07,1,3.72,0
C00486,SMB,Chat,10.35,39.02,3,4.35,0
C00487,Mid-Market,Email,8.17,28.05,3,3.15,0
C00488,SMB,Phone,19.66,73.76,6,3.73,0
C00489,SMB,Email,13.18,28.72,4,3.87,1
C00490,SMB,Phone,10.49,16.87,3,4.32,1
C00491,Enterprise,Email,25.42,53.0,3,4.51,0
C00492,Mid-Market,Email,11.52,25.44,5,4.52,1
C00493,SMB,Phone,8.52,21.61,2,3.92,1
C00494,SMB,Phone,7.25,15.76,1,3.99,0
C00495,Mid-Market,Chat,8.75,26.8,2,3.56,1
C00496,SMB,Email,19.59,69.39,1,3.89,0
C00497,SMB,Email,15.24,51.94,1,3.31,0
C00498,Mid-Market,Chat,16.25,36.99,5,3.45,0
C00499,Mid-Market,Phone,19.06,31.61,3,3.72,1
C00500,Enterprise,Phone,4.88,14.58,1,4.09,0
C00501,Mid-Market,Chat,24.33,71.03,2,3.21,1
C00502,SMB,Email,9.95,11.98,2,3.59,0
C00503,SMB,Email,12.59,37.25,0,3.57,1
C00504,SMB,Phone,14.01,52.96,7,3.7,0
C00505,SMB,Chat,4.44,10.43,4,3.78,0
C00506,Mid-Market,Phone,19.22,64.59,3,3.7,0
C00507,SMB,Chat,22.16,74.82,4,2.83,0
C00508,Mid-Market,Phone,6.19,14.06,6,3.7,1
C00509,Mid-Market,Email,30.22,103.59,3,3.15,0
C00510,SMB,Phone,20.28,47.15,1,4.03,1
C00511,SMB,Phone,6.11,15.34,3,4.38,1
C00512,Mid-Market,Chat,1.79,3.39,2,4.99,1
C00513,Mid-Market,Phone,23.78,51.47,2,3.69,1
C00514,SMB,Phone,12.46,30.72,2,3.81,1
C00515,SMB,Chat,11.49,33.63,4,3.93,1
C00516,SMB,Chat,4.78,10.38,5,3.52,1
C00517,SMB,Email,0.86,2.01,1,4.73,1
C00518,SMB,Phone,9.91,16.13,1,4.33,1
C00519,SMB,Email,5.05,10.93,4,4.89,0
C00520,SMB,Phone,9.39,35.38,0,4.06,1
C00521,SMB,Phone,9.44,22.98,1,3.91,0
C00522,Mid-Market,Phone,23.25,66.29,4,4.13,1
C00523,SMB,Email,11.6,35.44,2,3.39,1
C00524,SMB,Email,2.85,7.62,4,4.06,0
C00525,Enterprise,Phone,15.28,57.12,2,4.14,1
C00526,SMB,Email,11.25,18.68,2,3.43,1
C00527,Enterprise,Chat,26.53,74.88,0,3.76,1
C00528,SMB,Email,16.77,60.86,1,3.71,0
C00529,Mid-Market,Phone,7.46,18.54,2,3.88,1
C00530,SMB,Email,16.91,54.46,3,3.16,0
C00531,Enterprise,Phone,4.75,15.14,0,4.26,1
C00532,SMB,Phone,0.91,1.78,1,4.41,1
C00533,Enterprise,Chat,24.32,56.8,1,3.52,1
C00534,SMB,Chat,33.28,77.24,2,3.21,1
C00535,Enterprise,Email,13.97,45.01,4,3.33,1
C00536,SMB,Phone,16.21,53.35,7,3.39,0
C00537,SMB,Phone,10.23,37.64,4,3.74,1
C00538,SMB,Email,15.98,29.9,3,3.78,1
C00539,Mid-Market,Phone,19.53,32.96,2,3.58,1
C00540,SMB,Chat,22.42,80.56,4,3.99,1
C00541,Enterprise,Email,7.56,12.67,1,3.8,0
C00542,Mid-Market,Chat,27.67,91.63,0,3.52,0
C00543,SMB,Phone,4.93,18.44,3,4.48,1
C00544,Mid-Market,Email,13.4,48.32,2,4.49,1
C00545,SMB,Chat,24.4,82.5,6,2.78,0
C00546,SMB,Phone,11.07,30.26,5,4.03,0
C00547,SMB,Email,26.41,34.21,6,2.97,0
C00548,Mid-Market,Chat,2.24,4.01,6,3.03,0
C00549,SMB,Phone,17.77,22.25,2,3.59,1
C00550,SMB,Phone,8.88,32.11,0,3.71,1
C00551,Enterprise,Phone,7.51,25.53,4,3.39,1
C00552,SMB,Phone,14.36,34.49,5,3.13,1
C00553,SMB,Email,12.3,24.11,3,3.8,0
C00554,Mid-Market,Email,30.03,42.75,1,3.49,0
C00555,SMB,Phone,17.89,52.66,2,3.86,1
C00556,Enterprise,Phone,18.32,63.67,1,3.69,1
C00557,SMB,Email,14.81,48.86,5,2.97,0
C00558,SMB,Phone,12.34,21.11,2,4.13,1
C00559,SMB,Phone,23.34,66.38,4,3.21,0
C00560,SMB,Phone,2.46,3.5,6,4.05,1
C00561,SMB,Chat,5.29,15.63,5,4.23,1
C00562,Mid-Market,Email,16.61,31.45,2,4.68,0
C00563,Enterprise,Phone,25.38,62.12,8,2.99,0
C00564,SMB,Email,13.96,38.92,2,3.59,1
C00565,SMB,Chat,6.03,15.93,4,4.0,0
C00566,SMB,Email,16.62,26.76,3,4.48,1
C00567,Mid-Market,Email,4.05,6.63,5,4.55,0
C00568,Mid-Market,Chat,4.96,11.34,1,3.83,0
C00569,Mid-Market,Email,9.76,34.75,0,3.12,1
C00570,SMB,Email,7.28,21.93,2,4.37,1
C00571,SMB,Phone,5.3,6.89,4,3.71,0
C00572,SMB,Email,5.37,7.46,1,4.0,0
C00573,SMB,Email,14.72,21.04,1,4.25,1
C00574,SMB,Email,13.45,32.85,4,3.99,1
C00575,SMB,Email,3.72,7.68,4,4.58,1
C00576,SMB,Phone,3.96,12.85,2,4.2,0
C00577,SMB,Phone,17.51,52.93,3,3.42,0
C00578,Mid-Market,Email,14.31,19.2,3,3.64,1
C00579,Mid-Market,Phone,3.07,6.61,0,4.22,0
C00580,Mid-Market,Email,30.07,94.16,5,2.64,0
C00581,SMB,Email,5.11,9.24,2,4.01,1
C00582,Mid-Market,Chat,6.9,22.4,0,4.05,1
C00583,SMB,Chat,12.21,42.73,5,3.7,1
C00584,SMB,Email,11.64,19.78,4,3.96,0
C00585,SMB,Email,21.43,57.24,4,3.37,1
C00586,SMB,Email,3.8,5.15,3,4.03,1
C00587,SMB,Phone,18.94,51.34,1,3.7,0
C00588,SMB,Phone,32.24,100.02,1,3.93,0
C00589,SMB,Email,10.0,34.71,1,4.63,1
C00590,SMB,Phone,12.88,27.62,0,4.37,1
C00591,SMB,Email,6.57,21.64,5,4.1,0
C00592,Mid-Market,Phone,1.21,3.74,3,4.37,1
C00593,Mid-Market,Email,5.7,10.49,5,3.66,1
C00594,SMB,Email,18.17,59.76,4,2.73,1
C00595,SMB,Chat,17.21,53.27,2,3.34,1
C00596,SMB,Chat,12.52,45.55,2,3.41,0
C00597,Mid-Market,Email,15.99,47.97,2,4.45,1
C00598,Mid-Market,Chat,2.86,9.38,5,3.95,1
C00599,Enterprise,Email,11.74,38.05,2,4.93,1
C00600,SMB,Chat,27.46,92.13,4,3.36,0
C00601,SMB,Email,11.83,23.65,2,4.23,1
C00602,SMB,Email,5.05,19.03,1,3.98,1
C00603,SMB,Phone,4.91,7.44,2,4.6,1
C00604,Mid-Market,Phone,14.18,24.81,3,4.03,0
C00605,SMB,Chat,28.85,87.95,5,3.52,0
C00606,Mid-Market,Chat,17.47,48.91,1,4.24,0
C00607,Mid-Market,Chat,11.23,18.13,5,3.9,0
C00608,SMB,Email,12.68,21.17,2,4.21,1
C00609,Mid-Market,Chat,21.98,40.22,0,4.71,1
C00610,SMB,Phone,2.51,7.73,2,4.67,1
C00611,SMB,Phone,16.06,44.49,3,3.85,0
C00612,SMB,Chat,21.57,36.47,4,3.85,0
C00613,SMB,Phone,5.66,8.49,4,4.67,0
C00614,Mid-Market,Phone,32.17,60.31,5,3.03,1
C00615,SMB,Phone,11.04,34.32,3,3.42,1
C00616,Enterprise,Chat,13.21,22.98,2,3.92,1
C00617,Mid-Market,Chat,13.98,36.58,2,4.46,1
C00618,SMB,Chat,12.6,15.41,1,4.37,1
C00619,SMB,Email,12.28,39.82,5,3.82,1
C00620,Mid-Market,Email,6.48,20.82,3,4.32,1
C00621,SMB,Email,4.05,12.51,1,3.36,1
C00622,Mid-Market,Chat,25.67,81.63,1,3.85,1
C00623,SMB,Phone,11.38,35.18,0,4.68,1
C00624,SMB,Email,10.65,19.23,3,3.73,1
C00625,SMB,Email,8.49,24.73,1,3.7,1
C00626,SMB,Email,8.92,11.82,5,3.73,1
C00627,Mid-Market,Email,13.86,36.7,1,3.7,1
C00628,Mid-Market,Phone,19.76,33.78,2,4.4,0
C00629,Mid-Market,Email,11.29,13.89,1,4.27,1
C00630,SMB,Email,34.43,128.44,5,2.49,1
C00631,SMB,Phone,4.31,6.64,4,3.81,1
C00632,SMB,Chat,0.82,1.88,2,4.31,1
C00633,Enterprise,Email,12.4,24.59,2,4.51,1
C00634,SMB,Phone,19.88,32.46,2,3.38,1
C00635,SMB,Email,29.84,47.65,2,3.79,1
C00636,Enterprise,Email,3.3,8.48,0,4.12,1
C00637,SMB,Phone,12.57,41.34,4,3.67,1
C00638,Mid-Market,Email,2.84,6.96,3,4.36,1
C00639,Enterprise,Email,14.82,49.56,2,3.96,1
C00640,SMB,Phone,4.82,14.83,1,4.07,0
C00641,Mid-Market,Phone,6.78,23.57,1,4.21,1
C00642,SMB,Email,12.92,38.88,2,3.06,1
C00643,Mid-Market,Phone,14.61,53.23,6,3.12,0
C00644,Mid-Market,Phone,8.97,18.5,0,3.67,1
C00645,Enterprise,Chat,9.53,24.27,3,4.61,1
C00646,SMB,Phone,8.49,13.01,1,4.72,1
C00647,Enterprise,Email,7.7,24.89,2,4.12,1
C00648,Mid-Market,Phone,4.13,10.2,2,4.99,1
C00649,SMB,Email,2.02,4.4,3,3.91,1
C00650,SMB,Phone,11.38,18.47,6,4.21,1
C00651,SMB,Phone,7.1,24.79,5,3.3,0
C00652,SMB,Phone,6.47,21.36,1,4.0,1
C00653,Enterprise,Phone,15.17,50.63,1,4.09,1
C00654,SMB,Chat,2.3,6.69,3,3.89,1
C00655,SMB,Email,5.53,20.96,4,3.45,1
C00656,Mid-Market,Phone,4.91,12.54,2,3.44,1
C00657,Mid-Market,Email,18.17,27.76,2,3.53,1
C00658,Mid-Market,Chat,17.51,28.55,3,3.8,0
C00659,SMB,Phone,21.81,33.63,2,3.4,0
C00660,SMB,Chat,44.2,138.66,2,3.25,0
C00661,Enterprise,Phone,27.07,83.86,4,3.55,0
C00662,Mid-Market,Phone,5.59,16.66,1,4.54,1
C00663,Enterprise,Email,12.43,39.5,3,4.33,1
C00664,Mid-Market,Email,21.73,29.44,3,3.22,1
C00665,SMB,Phone,18.21,31.34,2,3.79,1
C00666,Mid-Market,Email,15.25,55.17,1,3.8,1
C00667,SMB,Phone,8.16,15.4,4,3.99,1
C00668,Enterprise,Email,32.65,82.24,5,3.45,1
C00669,SMB,Phone,9.29,31.34,3,4.03,0
C00670,Mid-Market,Email,8.18,11.48,3,3.39,1
C00671,SMB,Phone,6.06,12.31,5,3.49,1
C00672,SMB,Chat,20.1,58.74,1,3.67,0
C00673,SMB,Chat,15.7,43.28,5,3.16,0
C00674,Mid-Market,Phone,15.31,51.95,2,4.07,0
C00675,SMB,Chat,10.26,28.83,2,3.93,1
C00676,Enterprise,Phone,1.34,3.13,2,3.96,1
C00677,SMB,Chat,1.71,5.26,2,4.08,1
C00678,SMB,Phone,5.18,14.85,4,4.11,1
C00679,SMB,Email,8.74,11.2,3,3.42,0
C00680,SMB,Chat,20.25,38.25,1,3.56,1
C00681,SMB,Chat,5.39,15.22,1,4.08,1
C00682,Mid-Market,Phone,14.2,25.9,1,4.06,0
C00683,SMB,Email,19.48,35.92,2,3.03,0
C00684,SMB,Email,24.91,54.76,2,3.16,0
C00685,Mid-Market,Email,10.46,24.98,4,4.13,1
C00686,Mid-Market,Email,7.11,17.4,2,3.97,0
C00687,SMB,Chat,39.26,134.69,4,2.06,0
C00688,SMB,Chat,6.35,11.84,1,4.1,1
C00689,SMB,Email,9.52,13.44,6,3.83,0
C00690,SMB,Email,14.99,44.94,2,3.9,1
C00691,Mid-Market,Email,8.32,16.71,2,4.07,1
C00692,Mid-Market,Email,38.31,50.23,4,4.07,1
C00693,Mid-Market,Phone,14.32,52.73,3,3.51,0
C00694,SMB,Phone,17.74,39.24,4,4.4,1
C00695,SMB,Phone,6.15,18.97,2,3.53,0
C00696,Mid-Market,Chat,5.91,16.65,1,4.56,1
C00697,SMB,Phone,39.85,135.79,1,3.76,1
C00698,Mid-Market,Phone,1.04,3.36,3,4.4,1
C00699,SMB,Chat,10.59,33.98,0,4.24,1
C00700,SMB,Phone,9.36,22.08,6,2.7,0
C00701,Mid-Market,Email,10.11,32.66,2,3.76,1
C00702,SMB,Phone,2.75,7.3,3,4.08,1
C00703,Mid-Market,Phone,4.5,14.73,2,3.39,0
C00704,SMB,Email,27.36,47.71,3,3.55,1
C00705,SMB,Chat,19.77,52.95,0,4.12,1
C00706,SMB,Email,11.36,22.57,1,3.59,0
C00707,Mid-Market,Chat,3.78,10.61,1,4.55,1
C00708,SMB,Chat,6.51,20.09,4,3.96,1
C00709,Enterprise,Email,2.98,5.45,3,4.27,0
C00710,Mid-Market,Phone,11.88,26.32,4,3.76,0
C00711,Enterprise,Email,16.84,47.49,4,3.15,0
C00712,SMB,Chat,15.15,44.8,2,3.96,1
C00713,SMB,Email,7.96,27.69,1,4.61,1
C00714,SMB,Phone,42.18,67.94,1,3.5,1
C00715,Mid-Market,Email,13.37,37.22,5,3.32,1
C00716,SMB,Email,6.89,18.47,2,4.66,1
C00717,Mid-Market,Email,6.48,11.73,0,4.39,1
C00718,Mid-Market,Phone,12.7,34.18,3,3.45,0
C00719,SMB,Phone,13.96,47.86,3,3.77,0
C00720,SMB,Chat,17.3,30.77,2,3.22,1
C00721,SMB,Chat,11.05,36.83,3,3.87,1
C00722,Mid-Market,Email,3.84,5.13,2,4.44,1
C00723,Mid-Market,Email,5.71,21.51,3,4.4,1
C00724,Enterprise,Email,7.09,22.49,2,3.95,0
C00725,Enterprise,Phone,11.59,43.98,1,3.8,0
C00726,Enterprise,Chat,17.57,65.05,2,3.66,0
C00727,SMB,Chat,31.59,69.35,4,3.31,0
C00728,Mid-Market,Email,21.46,72.75,0,3.76,0
C00729,Mid-Market,Email,15.23,46.94,0,3.96,1
C00730,Enterprise,Phone,8.88,15.29,2,4.25,1
C00731,SMB,Email,38.49,74.26,1,3.8,0
C00732,SMB,Email,1.28,1.77,2,4.16,1
C00733,SMB,Email,14.61,29.05,1,3.99,1
C00734,Mid-Market,Chat,13.37,18.48,3,3.77,1
C00735,SMB,Email,10.87,38.95,3,4.07,1
C00736,Mid-Market,Email,6.54,21.25,2,3.91,1
C00737,Enterprise,Phone,17.49,57.68,2,3.82,1
C00738,Mid-Market,Phone,19.05,50.12,4,4.41,1
C00739,SMB,Phone,21.32,49.8,3,3.15,0
C00740,SMB,Email,13.95,49.45,2,3.99,0
C00741,SMB,Chat,24.23,37.15,5,3.28,0
C00742,Enterprise,Email,17.81,40.24,1,3.63,0
C00743,Mid-Market,Phone,26.93,74.96,1,4.12,0
C00744,SMB,Chat,7.29,10.97,2,4.02,1
C00745,Mid-Market,Email,13.1,18.06,1,4.04,1
C00746,Mid-Market,Chat,4.25,13.28,3,4.76,1
C00747,Mid-Market,Chat,16.39,56.51,2,3.8,1
C00748,Mid-Market,Email,9.02,26.66,2,4.45,1
C00749,SMB,Chat,7.47,21.82,3,3.52,0
C00750,Mid-Market,Email,29.14,57.66,1,3.43,1
C00751,SMB,Chat,16.87,40.43,4,3.81,0
C00752,Mid-Market,Email,26.19,68.46,2,3.45,0
C00753,SMB,Email,3.45,11.1,1,4.2,1
C00754,Mid-Market,Email,1.1,3.39,4,3.88,1
C00755,SMB,Email,12.98,35.85,2,3.99,0
C00756,Enterprise,Email,18.37,28.11,3,3.69,1
C00757,Mid-Market,Chat,18.42,31.47,2,3.85,1
C00758,SMB,Email,10.68,32.44,3,3.88,1
C00759,Enterprise,Email,20.43,65.02,4,3.78,0
C00760,Enterprise,Chat,9.02,26.47,1,4.55,1
C00761,SMB,Email,4.64,11.27,1,4.28,0
C00762,Mid-Market,Email,6.77,10.52,2,4.37,0
C00763,Enterprise,Email,19.72,57.41,3,3.24,0
C00764,SMB,Chat,13.14,22.32,2,3.56,1
C00765,SMB,Email,9.97,22.24,2,3.85,0
C00766,SMB,Chat,12.25,37.87,2,4.0,1
C00767,Mid-Market,Email,19.6,71.15,2,3.64,0
C00768,SMB,Email,5.1,15.55,2,3.63,1
C00769,Mid-Market,Email,1.35,3.03,3,4.01,0
C00770,SMB,Email,19.04,34.89,5,3.57,0
C00771,SMB,Email,26.71,70.7,1,3.69,0
C00772,Mid-Market,Email,23.2,60.98,3,3.81,1
C00773,SMB,Chat,16.29,23.35,1,4.15,1
C00774,SMB,Phone,1.12,1.38,1,3.73,1
C00775,Enterprise,Chat,9.66,21.11,3,3.94,0
C00776,Mid-Market,Chat,15.03,22.09,3,3.71,0
C00777,SMB,Email,12.44,28.3,3,4.52,1
C00778,Mid-Market,Chat,9.98,13.05,5,4.31,1
C00779,SMB,Chat,38.07,63.07,2,3.48,0
C00780,Mid-Market,Email,18.82,63.05,2,3.82,0
C00781,SMB,Chat,18.15,60.05,3,3.03,0
C00782,Mid-Market,Email,18.04,67.33,2,3.49,1
C00783,SMB,Email,16.32,25.58,0,4.49,1
C00784,SMB,Chat,4.28,5.83,1,3.97,1
C00785,SMB,Phone,20.13,73.95,1,3.8,0
C00786,SMB,Email,7.07,18.83,4,3.61,0
C00787,SMB,Email,9.05,30.04,3,4.1,1
C00788,SMB,Chat,13.74,40.02,5,3.63,1
C00789,SMB,Email,13.03,40.91,2,4.29,1
C00790,SMB,Phone,4.43,12.96,2,4.09,1
C00791,SMB,Email,24.52,53.32,2,3.87,1
C00792,SMB,Phone,3.53,12.47,3,4.43,1
C00793,Mid-Market,Email,36.13,46.79,1,3.37,0
C00794,Mid-Market,Phone,9.74,18.31,5,4.45,0
C00795,Mid-Market,Email,11.95,28.27,2,3.78,0
C00796,Mid-Market,Email,4.45,10.07,4,3.86,1
C00797,SMB,Email,16.16,46.96,5,3.71,0
C00798,SMB,Phone,6.33,8.34,4,3.03,0
C00799,SMB,Phone,9.14,21.72,0,4.18,1
C00800,SMB,Phone,34.54,104.64,2,2.96,0
C00801,Mid-Market,Chat,13.74,16.82,4,3.72,0
C00802,Mid-Market,Chat,13.4,42.1,1,4.1,0
C00803,Mid-Market,Email,6.38,15.16,3,4.84,1
C00804,SMB,Email,7.78,11.91,3,3.94,1
C00805,SMB,Email,30.37,93.49,4,3.49,0
C00806,SMB,Phone,54.27,149.98,0,3.65,0
C00807,Mid-Market,Email,18.43,62.7,3,4.06,1
C00808,SMB,Email,14.87,43.6,3,4.05,0
C00809,Mid-Market,Email,10.49,13.84,2,4.38,1
C00810,Mid-Market,Phone,5.25,15.55,3,4.1,0
C00811,SMB,Phone,14.34,26.28,0,4.07,1
C00812,Enterprise,Email,10.02,33.63,2,3.31,0
C00813,SMB,Email,4.89,17.12,1,4.1,0
C00814,Mid-Market,Chat,21.44,80.65,3,3.97,1
C00815,SMB,Phone,3.73,4.49,2,3.72,0
C00816,Mid-Market,Email,9.57,21.04,2,3.43,0
C00817,SMB,Chat,4.02,13.93,3,3.96,0
C00818,SMB,Phone,6.82,25.72,3,4.03,0
C00819,SMB,Chat,19.84,68.97,2,3.93,1
C00820,Mid-Market,Chat,3.63,12.76,2,4.04,0
C00821,SMB,Phone,9.22,23.39,4,4.5,1
C00822,Mid-Market,Chat,23.61,84.39,1,4.3,0
C00823,SMB,Chat,7.94,17.96,1,3.56,1
C00824,SMB,Phone,23.65,62.2,3,3.33,1
C00825,SMB,Chat,2.4,8.02,0,4.1,1
C00826,SMB,Email,13.3,47.51,1,3.65,0
C00827,SMB,Email,9.24,24.71,2,3.51,1
C00828,Enterprise,Phone,8.24,11.0,2,4.65,1
C00829,SMB,Email,15.6,44.1,6,3.22,0
C00830,SMB,Email,10.01,30.04,2,3.59,1
C00831,SMB,Phone,7.95,15.27,2,3.91,1
C00832,Mid-Market,Email,10.79,18.86,1,4.46,1
C00833,Mid-Market,Chat,11.82,42.76,4,3.07,0
C00834,SMB,Email,16.16,45.19,3,4.1,1
C00835,SMB,Email,23.38,47.03,4,3.8,1
C00836,Mid-Market,Phone,6.79,19.95,1,3.64,0
C00837,SMB,Chat,12.82,40.8,2,3.4,1
C00838,SMB,Phone,27.03,64.13,3,3.6,0
C00839,SMB,Phone,34.48,128.01,3,3.44,0
C00840,SMB,Chat,11.71,28.53,3,4.02,0
C00841,Mid-Market,Phone,10.57,34.96,1,4.08,1
C00842,SMB,Chat,19.27,41.86,5,3.65,0
C00843,SMB,Email,17.85,47.9,0,4.63,1
C00844,SMB,Chat,19.18,61.8,1,3.93,0
C00845,Mid-Market,Phone,22.29,76.79,4,4.43,1
C00846,Enterprise,Phone,3.5,10.98,2,4.12,0
C00847,SMB,Phone,6.78,12.28,1,4.12,1
C00848,Mid-Market,Phone,5.2,18.68,2,3.91,1
C00849,SMB,Chat,18.23,66.36,4,3.56,0
C00850,SMB,Chat,9.02,17.29,1,4.01,1
C00851,Mid-Market,Phone,14.65,24.46,2,3.9,1
C00852,Enterprise,Email,29.81,79.89,4,4.23,1
C00853,SMB,Phone,3.06,9.64,1,4.98,0
C00854,Mid-Market,Chat,5.92,20.41,2,4.26,1
C00855,SMB,Chat,14.63,28.64,1,3.58,1
C00856,SMB,Phone,13.32,44.38,1,3.88,0
C00857,Enterprise,Email,13.88,41.03,1,4.12,1
C00858,SMB,Chat,3.35,10.57,0,4.34,1
C00859,SMB,Email,7.78,16.86,2,3.37,0
C00860,SMB,Email,14.47,54.21,5,2.89,1
C00861,Mid-Market,Email,6.04,20.54,3,4.24,1
C00862,SMB,Chat,1.13,2.52,3,3.68,0
C00863,SMB,Email,38.79,67.65,0,3.72,1
C00864,SMB,Phone,9.79,20.82,0,3.74,1
C00865,SMB,Email,20.08,44.32,3,3.92,1
C00866,Mid-Market,Email,10.33,36.3,2,4.49,0
C00867,SMB,Phone,5.01,18.24,7,3.62,1
C00868,SMB,Chat,17.68,29.84,2,4.15,1
C00869,SMB,Email,14.93,23.06,1,3.53,0
C00870,SMB,Chat,25.73,37.96,2,3.76,1
C00871,SMB,Phone,7.35,17.66,2,4.11,1
C00872,SMB,Email,8.72,26.0,1,4.08,0
C00873,Enterprise,Email,5.14,14.41,1,4.16,1
C00874,Mid-Market,Chat,8.83,31.34,1,4.38,0
C00875,Mid-Market,Email,8.25,23.13,1,3.8,0
C00876,SMB,Phone,4.5,13.94,1,3.91,1
C00877,SMB,Phone,13.72,38.89,2,3.7,0
C00878,SMB,Chat,5.29,11.97,1,4.05,1
C00879,Mid-Market,Email,4.33,8.4,2,4.39,0
C00880,Mid-Market,Chat,15.07,19.3,3,4.18,1
C00881,Mid-Market,Email,7.2,26.37,1,4.33,0
C00882,Enterprise,Phone,24.79,80.58,3,3.56,1
C00883,SMB,Email,10.8,24.87,2,4.0,1
C00884,SMB,Phone,19.36,27.61,3,3.53,1
C00885,Mid-Market,Email,4.48,9.3,2,4.07,1
C00886,SMB,Email,7.24,9.81,3,3.58,0
C00887,Mid-Market,Email,12.91,44.99,2,3.31,0
C00888,Mid-Market,Email,12.13,27.62,2,3.94,1
C00889,SMB,Email,4.63,10.97,1,3.59,0
C00890,Mid-Market,Email,1.73,4.73,2,4.11,0
C00891,SMB,Email,24.69,29.77,4,3.65,1
C00892,Mid-Market,Email,9.87,15.25,2,4.27,1
C00893,Enterprise,Phone,18.74,68.88,4,3.63,0
C00894,Mid-Market,Phone,31.6,113.77,0,3.7,1
C00895,Mid-Market,Email,24.3,33.43,3,3.61,0
C00896,SMB,Email,16.76,38.96,1,3.97,0
C00897,Mid-Market,Phone,12.25,23.79,6,3.99,0
C00898,SMB,Email,8.19,26.98,1,4.02,0
C00899,Mid-Market,Phone,3.19,4.8,2,4.12,1
C00900,SMB,Phone,17.8,26.71,1,3.66,1
C00901,SMB,Phone,9.64,27.17,3,4.14,1
C00902,Enterprise,Email,20.22,44.36,1,3.72,1
C00903,SMB,Phone,6.6,22.9,2,3.68,1
C00904,SMB,Email,1.98,3.13,1,3.92,0
C00905,SMB,Phone,16.28,61.4,1,3.99,1
C00906,Mid-Market,Email,4.59,16.94,1,4.56,1
C00907,SMB,Phone,14.16,21.05,4,4.07,1
C00908,Mid-Market,Email,6.95,18.67,3,4.39,1
C00909,SMB,Chat,8.72,32.29,2,3.57,0
C00910,SMB,Chat,9.14,19.01,5,3.99,1
C00911,SMB,Email,20.36,58.81,1,3.43,0
C00912,SMB,Chat,4.22,10.57,0,3.74,0
C00913,Mid-Market,Phone,14.47,38.43,4,4.17,0
C00914,Mid-Market,Email,12.6,42.75,3,3.88,0
C00915,SMB,Chat,4.83,8.81,2,3.97,1
C00916,SMB,Chat,15.72,44.87,3,3.52,1
C00917,SMB,Email,17.48,55.56,6,3.75,0
C00918,SMB,Email,17.41,33.21,2,3.88,1
C00919,Enterprise,Email,12.25,42.23,2,3.74,1
C00920,SMB,Phone,17.63,40.03,2,3.57,1
C00921,SMB,Email,7.98,10.42,7,3.48,1
C00922,SMB,Email,9.69,33.56,1,4.53,1
C00923,Mid-Market,Chat,15.85,46.67,5,3.65,0
C00924,Enterprise,Chat,11.45,35.84,7,3.72,0
C00925,SMB,Chat,20.75,64.91,6,3.25,0
C00926,SMB,Chat,13.19,25.17,1,4.17,1
C00927,SMB,Email,10.72,15.87,1,4.52,1
C00928,Enterprise,Chat,36.57,134.35,3,3.6,1
C00929,Enterprise,Email,35.95,103.03,1,2.69,0
C00930,SMB,Chat,3.42,11.77,2,3.84,1
C00931,Enterprise,Chat,11.66,23.69,2,4.43,1
C00932,Mid-Market,Email,18.69,34.98,3,4.11,0
C00933,Enterprise,Phone,17.07,61.02,0,4.17,1
C00934,Mid-Market,Email,18.95,42.48,2,4.07,0
C00935,Mid-Market,Chat,21.77,39.53,0,3.97,1
C00936,SMB,Phone,8.21,15.03,0,4.62,1
C00937,Enterprise,Email,10.43,27.28,3,4.29,1
C00938,SMB,Email,16.81,47.61,3,3.76,0
C00939,SMB,Phone,6.65,21.08,1,4.21,1
C00940,Mid-Market,Phone,20.19,61.48,4,3.91,0
C00941,Mid-Market,Email,43.07,77.46,1,3.95,1
C00942,SMB,Phone,18.55,68.84,4,3.33,0
C00943,Mid-Market,Phone,12.22,16.73,4,3.36,0
C00944,Mid-Market,Email,21.71,63.64,5,3.84,1
C00945,Mid-Market,Phone,17.91,60.39,1,3.53,0
C00946,SMB,Phone,14.44,41.98,3,4.22,1
C00947,SMB,Email,13.36,16.07,5,4.1,1
C00948,SMB,Email,8.1,19.57,1,4.16,1
C00949,Mid-Market,Chat,7.18,26.0,6,3.41,1
C00950,Mid-Market,Email,11.2,22.08,2,4.41,0
C00951,SMB,Phone,13.07,22.49,4,3.15,1
C00952,SMB,Email,10.2,20.47,1,3.74,0
C00953,Enterprise,Chat,3.46,4.57,3,4.45,1
C00954,SMB,Chat,14.56,32.82,0,4.61,1
C00955,SMB,Chat,1.16,2.3,2,3.94,1
C00956,SMB,Chat,6.73,17.63,2,4.04,1
C00957,Enterprise,Phone,28.26,70.96,2,3.48,0
C00958,Enterprise,Phone,6.91,24.91,3,3.26,1
C00959,SMB,Email,10.21,19.37,2,4.34,1
C00960,Mid-Market,Email,9.75,31.57,1,4.03,1
C00961,Enterprise,Phone,21.23,56.08,4,3.68,1
C00962,SMB,Chat,26.15,80.53,5,3.23,0
C00963,SMB,Chat,3.88,7.72,3,4.01,1
C00964,Mid-Market,Email,6.55,21.09,0,3.77,0
C00965,Mid-Market,Phone,9.25,33.69,3,3.71,0
C00966,SMB,Email,10.19,36.74,0,4.26,1
C00967,Mid-Market,Email,23.31,45.88,3,3.44,1
C00968,SMB,Email,21.09,55.42,1,3.74,1
